code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
MY369.B1;DIRCE;826969029;A43;69PR2D;723;69PR3D;349;1;OUEST_EST;Y;;624;0;848239.75;6516036.5;849227.5;6515857.0;LY69
MWJ35.S1;DIRO;533535238;N136;35PR15D;480;35PR16D;685;1;EST_OUEST;Y;INTERIEUR;1204;0;349030.75;6789854.0;349139.34;6790817.0;RE35
MWJ35.S2;DIRO;533535238;N136;35PR15G;520;35PR16G;575;1;OUEST_EST;W;EXTERIEUR;1063;0;349015.34;6789853.5;349130.66;6790824.5;RE35
MYK69.C1;DIRCE;826969275;N346;69PR30D;785;69PR31D;999;1;NORD_SUD;Y;;1220;0;851974.75;6522393.0;852668.5;6521739.0;LY69
MYK69.C2;DIRCE;826969275;N346;69PR31G;336;69PR31G;999;1;SUD_NORD;W;;664;0;852671.44;6521749.5;852671.44;6521749.5;LY69
MQR69.J1;DIRCE;;;;0;;;;;;;0;0;;;;;
MQR69.J2;DIRCE;;;;0;;;;;;;0;0;;;;;
MM313.Q1;DIRMED;931313055;A50;13PR8D;285;13PR8D;785;1;OUEST_EST;Y;;499;0;902024.0;6246658.0;902024.0;6246658.0;MA13
A0022020500;DIRN;;;;0;;;;;;;0;0;;;;;
MM513.f2;DIRMED;931313055;A55;13PR2G;400;13PR2G;900;1;OUEST_EST;Y;;500;0;891871.0;6249264.0;891871.0;6249264.0;MA13
MB831.N3;DIRSO;733131555;A620;31PR12D;925;31PR13D;517;1;NORD_SUD;Y;EXTERIEUR;640;0;573215.0;6275862.0;574068.0;6276408.0;TO31
MUM76.Q2;DIRNO;237676497;N338;76PR1G;377;76PR2G;243;1;NORD_SUD;Y;;871;0;558253.3;6922313.0;557700.25;6923134.0;RO76
MB831.N2;DIRSO;733131555;A620;31PR12G;925;31PR13G;517;1;SUD_NORD;W;INTERIEUR;635;0;573208.0;6275876.0;574054.0;6276420.0;TO31
MUM76.Q1;DIRNO;237676497;N338;76PR1D;377;76PR2D;243;1;SUD_NORD;W;;889;0;558253.06;6922313.5;557699.94;6923134.5;RO76
A0025020700;DIRN;;;;0;;;;;;;0;0;;;;;
MM113.q2;DIRMED;931313015;A51;13PR8G;849;13PR9G;349;1;NORD_SUD;Y;;506;0;894016.7;6264361.5;894544.0;6265203.5;MA13
MB133.L2;DIRA;723333318;A630;33PR25G;97;33PR26G;208;1;EST_OUEST;Y;INTERIEUR;946;0;413523.72;6416563.0;414355.0;6416636.0;BX33
MYL42.W2;DIRCE;824242237;N88;42PR33G;250;42PR34G;800;1;SUD_NORD;W;;1547;0;814249.7;6483524.0;813360.3;6483079.5;ST42
MYL42.W1;DIRCE;824242237;N88;42PR33D;250;42PR34D;800;1;NORD_SUD;Y;;1538;0;814244.56;6483536.5;813354.9;6483090.0;ST42
MQA01.C2;DIRCE;;;;0;;;;;;;0;0;;;;;
MQA01.C1;DIRCE;;;;0;;;;;;;0;0;;;;;
N93563b0150;DIRN;;;;0;;;;;;;0;0;;;;;
MM813.n2;DIRMED;931313055;A7;13PR279G;86;13PR279G;586;1;SUD_NORD;W;;500;0;892888.5;6251195.0;892888.5;6251195.0;MA13
MWJ35.R1;DIRO;533535238;N136;35PR13D;280;35PR13D;800;1;EST_OUEST;Y;INTERIEUR;520;0;349368.88;6787897.5;349368.88;6787897.5;RE35
MYK69.D1;DIRCE;826969275;N346;69PR32D;656;69PR33D;326;1;NORD_SUD;Y;;705;0;853669.75;6521617.0;854229.0;6520904.0;LY69
MB133.L1;DIRA;723333318;A630;33PR25D;95;33PR26D;200;1;OUEST_EST;W;EXTERIEUR;938;0;413526.2;6416549.5;414357.0;6416617.0;BX33
MYK69.D2;DIRCE;826969275;N346;69PR32G;655;69PR34G;390;1;SUD_NORD;W;;1730;0;853671.9;6521627.5;854293.1;6519961.5;LY69
MQR69.K2;DIRCE;;;;0;;;;;;;0;0;;;;;
MYR69.A2;DIRCE;826969297;A47;69PR1G;520;69PR2G;200;1;OUEST_EST;W;;643;0;839223.0;6500280.5;838288.2;6500497.0;ST42
MM513.e2;DIRMED;931313055;A55;13PR2G;0;13PR2G;392;1;OUEST_EST;Y;;392;0;891871.0;6249264.0;891871.0;6249264.0;MA13
MM313.R1;DIRMED;931313055;A50;13PR8D;745;13PR9D;245;1;OUEST_EST;Y;;500;0;902024.0;6246658.0;902995.0;6246424.0;MA13
MYR69.A1;DIRCE;826969297;A47;69PR1D;520;69PR2D;200;1;EST_OUEST;Y;;644;0;839222.7;6500291.5;838287.25;6500508.0;ST42
MZO57.22;DIRE;415757582;A30;57PR0G;0;57PR7G;765;1;OUEST_EST;Y;;7912;0;930761.06;6914164.5;924799.3;6917260.5;ME57
MQR69.K1;DIRCE;;;;0;;;;;;;0;0;;;;;
MZO57.21;DIRE;415757582;A30;57PR0D;0;57PR7D;765;1;EST_OUEST;W;;8006;0;930866.75;6914169.0;924807.0;6917280.5;ME57
MYI38.92;DIRCE;823838382;;DRG;0;38PR96G;300;1;EST_OUEST;W;;2328;0;910492.9;6460872.0;912329.06;6460090.0;GR38
MUM76.P1;DIRNO;237676541;A151;76PR0D;0;76PR2D;316;1;SUD_NORD;Y;;2256;0;554496.0;6935774.0;555184.6;6937394.0;RO76
MYI38.91;DIRCE;823838382;;DRD;0;38PR96D;300;1;OUEST_EST;Y;;2800;0;910121.06;6461072.5;912323.8;6460076.5;GR38
MUM76.P2;DIRNO;237676541;A151;76PR1G;0;76PR2G;316;1;NORD_SUD;W;;1311;0;554498.3;6936658.0;555178.6;6937404.0;RO76
MUM76.K2;DIRNO;237676728;A150;76PR5G;943;76PR7G;618;1;NORD_SUD;W;;1688;0;556426.2;6932611.0;555062.8;6934027.5;RO76
M08SF.12;DIRSO;733131555;A61;31PR239GC;150;31PR241GC;0;1;EST_OUEST;W;EXTERIEUR;1848;0;578295.0;6274434.0;579043.0;6272611.0;TO31
M08SF.11;DIRSO;733131555;A620;31PR18DC;400;31PR19DC;581;1;NORD_SUD;Y;;1177;0;577978.0;6274402.0;578425.0;6273519.0;TO31
MUM76.K1;DIRNO;237676410;A150;76PR5D;943;76PR7D;618;1;SUD_NORD;Y;;1668;0;556442.9;6932625.5;555086.06;6934028.0;RO76
MB233.w2;DIRA;723333075;A630;33PR10G;302;33PR10G;1017;1;SUD_NORD;W;INTERIEUR;713;0;414050.0;6427023.0;414050.0;6427023.0;BX33
A0023020300;DIRN;;;;0;;;;;;;0;0;;;;;
MwI35.A1;DIRO;533535051;N136;35PR25D;940;35PR27D;830;1;EST_OUEST;Y;INTERIEUR;1884;0;357048.0;6793097.0;358806.0;6792657.0;RE35
N0227010050;DIRN;;;;0;;;;;;;0;0;;;;;
MB233.w1;DIRA;723333075;A630;33PR10D;301;33PR10D;1010;1;NORD_SUD;Y;EXTERIEUR;708;0;414033.0;6427032.0;414033.0;6427032.0;BX33
MYK69.A1;DIRCE;826969256;N346;69PR28D;176;69PR29D;16;1;NORD_SUD;Y;;837;0;850847.06;6523754.0;851739.56;6523326.5;LY69
MYK69.A2;DIRCE;826969256;N346;69PR28G;175;69PR29G;15;1;SUD_NORD;W;;839;0;850853.3;6523764.0;851747.7;6523333.0;LY69
MWJ35.U1;DIRO;533535363;N137;35PR36D;458;35PR38D;746;1;SUD_NORD;W;;2286;0;350441.6;6778770.5;350793.66;6780738.0;RE35
M08SF.14;DIRSO;733131555;A620;31PR18GC;400;31PR19GC;581;1;SUD_NORD;W;;1178;0;577988.0;6274403.0;578484.0;6273555.0;TO31
M08SF.13;DIRSO;733131555;A61;31PR239DC;150;31PR241DC;0;1;OUEST_EST;Y;INTERIEUR;1850;0;578275.0;6274420.0;579019.0;6272621.0;TO31
MWJ35.U2;DIRO;533535363;N137;35PR36G;458;35PR38G;746;1;NORD_SUD;Y;;2289;0;350425.5;6778773.0;350781.16;6780742.0;RE35
MM313.O1;DIRMED;931313055;A50;13PR7D;259;13PR7D;759;1;OUEST_EST;Y;;502;0;901049.0;6246893.0;901049.0;6246893.0;MA13
MB831.H6;DIRSO;733131069;A621;31PR3G;550;31PR3G;986;1;OUEST_EST;W;;438;0;569683.8;6282000.0;569683.8;6282000.0;TO31
A0027020500;DIRN;;;;0;;;;;;;0;0;;;;;
MM513.h2;DIRMED;931313055;A55;13PR3G;481;13PR3G;981;1;OUEST_EST;Y;;504;0;891637.0;6250172.0;891637.0;6250172.0;MA13
MWL44.U1;DIRO;524444162;N844;44PR32D;400;44PR33D;90;1;EST_OUEST;Y;INTERIEUR;687;0;350401.9;6692299.5;350673.5;6693258.5;NA44
MY669.J1;GRAND LYON;826969123;A6;69PR452D;288;69PR453D;49;1;NORD_SUD;Y;;708;0;839335.75;6520480.0;840049.94;6519857.0;LY69
MWL44.U2;DIRO;524444162;N844;44PR32G;400;44PR32G;900;1;OUEST_EST;W;EXTERIEUR;499;0;350392.38;6692305.5;350392.38;6692305.5;NA44
MY669.J2;DIRCE;;;;0;;;;;;;0;0;;;;;
A0022022500;DIRN;;;;0;;;;;;;0;0;;;;;
A0025020960;DIRN;;;;0;;;;;;;0;0;;;;;
MBG33.n1;DIRA;723333013;N230;33PR40D;340;33PR41D;75;1;SUD_NORD;W;EXTERIEUR;733;0;423318.0;6422602.0;423184.0;6423583.0;BX33
MZO57.91;DIRE;415757666;A31;57PR333D;600;57PR336D;800;1;SUD_NORD;W;;3207;0;927869.9;6921320.0;925659.1;6921814.5;ME57
MZO57.92;DIRE;415757666;A31;57PR333G;600;57PR336G;800;1;NORD_SUD;Y;;3207;0;927872.2;6921302.5;925640.9;6921812.5;ME57
MQR69.D1;DIRCE;;;;0;;;;;;;0;0;;;;;
MQR69.D2;DIRCE;;;;0;;;;;;;0;0;;;;;
M08SF.01;DIRSO;733131555;A61;31PR237DC;350;31PR239DC;150;1;OUEST_EST;Y;INTERIEUR;1800;0;578557.0;6276364.0;578275.0;6274420.0;TO31
MUM76.J1;DIRNO;237676540;N31;76PR0D;0;76PR1D;365;1;OUEST_EST;Y;;1053;0;563762.0;6928164.0;564357.5;6927860.0;RO76
MUM76.J2;DIRNO;237676540;N31;76PR0G;0;76PR1G;365;1;EST_OUEST;W;;1004;0;563725.9;6928190.0;564326.0;6927981.0;RO76
MQA01.E2;DIRCE;;;;0;;;;;;;0;0;;;;;
MB233.x1;DIRA;723333162;A630;33PR14D;330;33PR15D;570;1;NORD_SUD;Y;EXTERIEUR;1047;0;410795.0;6424328.0;410381.0;6423627.0;BX33
MQA01.E1;DIRCE;;;;0;;;;;;;0;0;;;;;
A0001010140;DIRN;;;;0;;;;;;;0;0;;;;;
MYK69.B2;DIRCE;826969256;N346;69PR29G;677;69PR30G;72;1;SUD_NORD;W;;398;0;851747.7;6523333.0;851984.25;6522394.5;LY69
MY369.A2;DIRCE;;;;0;;;;;;;0;0;;;;;
MY369.A1;DIRCE;;;;0;;;;;;;0;0;;;;;
MWK35.F2;DIRO;;;;0;;;;;;;0;0;;;;;
MWK35.F1;DIRO;533535051;N136;35PR3D;820;35PR4D;950;1;EST_OUEST;Y;INTERIEUR;1136;0;357432.1;6788188.0;356609.22;6787607.0;RE35
MYK69.B1;DIRCE;826969256;N346;69PR29D;678;69PR30D;73;1;NORD_SUD;Y;;393;0;851739.56;6523326.5;851974.75;6522393.0;LY69
MWJ35.T1;DIRO;533535051;N136;35PR24D;564;35PR25D;940;1;EST_OUEST;Y;INTERIEUR;1373;0;356293.0;6792456.0;357048.0;6793097.0;RE35
